task_id,baseline_global,modified_global,baseline_task,modified_task,global_delta,task_delta
0,0.7,0.6996,0.998,0.9976,-0.00039999999999995595,-0.00039999999999995595
1,0.7,0.6996,0.9962,0.9962,-0.00039999999999995595,0.0
2,0.7,0.6998,0.9918,0.992,-0.00019999999999997797,0.00019999999999997797
3,0.7,0.6988,0.9864,0.9856,-0.0011999999999999789,-0.0008000000000000229
4,0.7,0.6962,0.9858,0.9832,-0.0037999999999999146,-0.0026000000000000467
5,0.7,0.6882,0.9802,0.9728,-0.011799999999999922,-0.007399999999999962
6,0.7,0.68,0.98,0.9726,-0.019999999999999907,-0.007399999999999962
7,0.7,0.6786,0.976,0.9748,-0.021399999999999975,-0.0011999999999999789
8,0.7,0.6608,0.9726,0.9548,-0.0391999999999999,-0.017800000000000038
9,0.7,0.641,0.9682,0.9486,-0.05899999999999994,-0.01959999999999995
10,0.7,0.639,0.967,0.965,-0.06099999999999994,-0.0020000000000000018
11,0.7,0.632,0.9756,0.9686,-0.06799999999999995,-0.007000000000000006
12,0.7,0.6016,0.948,0.9186,-0.09839999999999993,-0.02939999999999998
13,0.7,0.601,0.9814,0.9808,-0.09899999999999998,-0.0006000000000000449
14,0.7,0.587,0.9864,0.9726,-0.11299999999999999,-0.013800000000000034
15,0.7,0.587,0.9874,0.9874,-0.11299999999999999,0.0
16,0.7,0.587,0.9868,0.987,-0.11299999999999999,0.00019999999999997797
17,0.7,0.587,0.9926,0.9926,-0.11299999999999999,0.0
18,0.7,0.587,0.9964,0.9964,-0.11299999999999999,0.0
