task_id,baseline_global,modified_global,baseline_task,modified_task,global_delta,task_delta
0,0.6948,0.6938,0.998,0.9904,-0.0010000000000000009,-0.007600000000000051
1,0.6948,0.6946,0.9956,0.9954,-0.00019999999999997797,-0.000200000000000089
2,0.6948,0.6948,0.9922,0.9922,0.0,0.0
3,0.6948,0.693,0.9872,0.9858,-0.0018000000000000238,-0.0013999999999999568
4,0.6948,0.6864,0.9886,0.9802,-0.008399999999999963,-0.008400000000000074
5,0.6948,0.6872,0.982,0.9748,-0.00759999999999994,-0.007199999999999984
6,0.6948,0.6774,0.9788,0.9618,-0.01739999999999997,-0.017000000000000015
7,0.6948,0.692,0.9724,0.9698,-0.0028000000000000247,-0.0026000000000000467
8,0.6948,0.675,0.9702,0.9506,-0.01979999999999993,-0.01959999999999995
9,0.6948,0.6792,0.967,0.9518,-0.015599999999999947,-0.015199999999999991
10,0.6948,0.6868,0.9676,0.9596,-0.008000000000000007,-0.008000000000000007
11,0.6948,0.6868,0.9748,0.967,-0.008000000000000007,-0.007800000000000029
12,0.6948,0.6942,0.945,0.9324,-0.0005999999999999339,-0.012599999999999945
13,0.6948,0.6892,0.9808,0.9754,-0.005599999999999938,-0.00539999999999996
14,0.6948,0.681,0.9874,0.9738,-0.013799999999999923,-0.013600000000000056
15,0.6948,0.6948,0.9858,0.9858,0.0,0.0
16,0.6948,0.6938,0.9862,0.9854,-0.0010000000000000009,-0.0007999999999999119
17,0.6948,0.6946,0.993,0.9928,-0.00019999999999997797,-0.00019999999999997797
18,0.6948,0.6948,0.9958,0.9958,0.0,0.0
