task_id,baseline_global,modified_global,baseline_task,modified_task,global_delta,task_delta
0,0.7,0.7,0.998,0.998,0.0,0.0
1,0.7,0.6916,0.9962,0.988,-0.008399999999999963,-0.008199999999999985
2,0.7,0.686,0.9918,0.9778,-0.013999999999999901,-0.014000000000000012
3,0.7,0.6762,0.9864,0.9628,-0.023799999999999932,-0.023600000000000065
4,0.7,0.6736,0.9858,0.9592,-0.02639999999999998,-0.026599999999999957
5,0.7,0.6604,0.9802,0.9416,-0.03959999999999997,-0.03859999999999997
6,0.7,0.6568,0.98,0.9378,-0.043199999999999905,-0.042200000000000015
7,0.7,0.6446,0.976,0.921,-0.055400000000000005,-0.05499999999999994
8,0.7,0.6446,0.9726,0.9174,-0.055400000000000005,-0.05520000000000003
9,0.7,0.6416,0.9682,0.9104,-0.05840000000000001,-0.05779999999999996
10,0.7,0.6486,0.967,0.9162,-0.0514,-0.050799999999999956
11,0.7,0.659,0.9756,0.935,-0.040999999999999925,-0.04059999999999997
12,0.7,0.6632,0.948,0.9454,-0.036799999999999944,-0.0025999999999999357
13,0.7,0.6692,0.9814,0.9508,-0.03079999999999994,-0.03060000000000007
14,0.7,0.674,0.9864,0.9604,-0.025999999999999912,-0.026000000000000023
15,0.7,0.682,0.9874,0.9694,-0.017999999999999905,-0.018000000000000016
16,0.7,0.6864,0.9868,0.9734,-0.013599999999999945,-0.013399999999999967
17,0.7,0.694,0.9926,0.9866,-0.006000000000000005,-0.006000000000000005
18,0.7,0.7014,0.9964,0.9978,0.0014000000000000679,0.0014000000000000679
